"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000040",3394.97538302001,1.1854909099677,0.0972069239076091,12.1955398063461,3.28321073686454e-34,2.75789701896621e-32
"ENSMUSG00000000034",413.939046822813,-0.952261416570188,0.131144777688535,-7.26114629460718,3.83823539517346e-13,1.61205886597285e-11
"ENSMUSG00000000007",5797.66424750636,0.470610294067862,0.0855603053726811,5.5003344368395,3.79071550539839e-08,1.06140034151155e-06
"ENSMUSG00000000030",8649.16535828898,0.4375610774414,0.0862871649658014,5.07098683349743,3.95758155171699e-07,8.31092125860569e-06
"ENSMUSG00000000046",1692.02233566626,0.401891178536348,0.0874485784782926,4.59574284144721,4.31210253512028e-06,7.24433225900207e-05
"ENSMUSG00000000061",945.149169678115,2.70527764891025,0.621910560023345,4.34994647591882,1.36170765111172e-05,0.000164807721931706
"ENSMUSG00000000056",1517.80328584693,0.439256076034067,0.101023192783176,4.34807160546623,1.37339768276422e-05,0.000164807721931706
"ENSMUSG00000000010",413.005091237591,-0.524787660915265,0.136398562540067,-3.84745741555089,0.000119350013979417,0.00125317514678387
"ENSMUSG00000000091",302.705611905526,0.640892589228761,0.171822571046456,3.72996740373233,0.00019150454398775,0.00178737574388567
"ENSMUSG00000000067",525.638896377932,-0.545528213266542,0.152896480005715,-3.5679579624472,0.000359774206315719,0.00302210333305204
"ENSMUSG00000000035",106.347810990341,-0.858498442313368,0.260166325181936,-3.29980615943672,0.000967516305865275,0.00738830633569846
"ENSMUSG00000000053",1259.20584235389,-0.307151116286913,0.0965423797692502,-3.18151590028179,0.00146506480559136,0.0102554536391396
"ENSMUSG00000000001",749.292343369246,-0.328478876602329,0.104940939188343,-3.1301309016569,0.00174728423038582,0.0112901442578776
"ENSMUSG00000000072",1005.37103635464,-0.331091035618614,0.108568222913917,-3.04961273872129,0.00229136615197404,0.0137481969118443
"ENSMUSG00000000054",1310.12673842506,-0.273480363058524,0.0951179394251301,-2.87517123175054,0.00403808439646762,0.0226132726202187
"ENSMUSG00000000074",2296.30229910312,0.246386033723042,0.0898438816636575,2.74237966081453,0.00609957952899986,0.0320227925272493
"ENSMUSG00000000080",505.062262205944,0.330443667942335,0.131185037204818,2.51891278901279,0.0117717809578592,0.0581664470858926
"ENSMUSG00000000064",22.1166995486679,-1.31970596209243,0.528730704868247,-2.49598888421146,0.0125606537541717,0.0586163841861346
"ENSMUSG00000000008",2029.67906109118,-0.201925833253854,0.0840243993642829,-2.40318091865693,0.0162531441723178,0.0710585728691048
"ENSMUSG00000000020",204.191891282169,-0.412072775829183,0.172525861441796,-2.38846960325541,0.0169187078259773,0.0710585728691048
"ENSMUSG00000000041",5070.32503674521,-0.263907752300466,0.112594238639812,-2.34388327048158,0.0190841431291859,0.0763365725167435
"ENSMUSG00000000031",252.650001227416,0.362757359530055,0.157118018382148,2.30882086768522,0.0209535235555331,0.0800043626665808
"ENSMUSG00000000083",285.056295612797,-0.3774608633873,0.168550849484464,-2.23944800362512,0.0251267809321717,0.0917673738392357
"ENSMUSG00000000017",1834.53087950719,-0.215150982663008,0.0978010060626929,-2.19988516810441,0.0278150432856674,0.0973526514998361
"ENSMUSG00000000032",545.763809724679,0.324236562673094,0.156356549779466,2.07369990659435,0.0381071899130736,0.128040158107927
"ENSMUSG00000000044",30.4209505851539,0.798617839268656,0.400678465831679,1.99316386422461,0.0462435066129062,0.149402098287851
"ENSMUSG00000000003",522.469677505679,0.233453505604404,0.120950143242774,1.93016311800317,0.0535866298236799,0.162175501199981
"ENSMUSG00000000023",1233.99063669633,0.196114725519707,0.101805457050562,1.92636751704093,0.0540585003999938,0.162175501199981
"ENSMUSG00000000048",1474.20154768549,0.172760067991308,0.091066241876993,1.89708133805129,0.0578172038281338,0.167470521433215
"ENSMUSG00000000009",653.713219864457,-0.246611968750299,0.135393366696527,-1.82144793919675,0.0685387935909508,0.191908622054662
"ENSMUSG00000000055",79.6997852517682,-0.507216662160024,0.281295927443496,-1.80314257220062,0.0713658266982692,0.193378369117891
"ENSMUSG00000000099",423.118714170257,-0.242283730858011,0.138435511565917,-1.75015592543714,0.0800914117409696,0.200231254852098
"ENSMUSG00000000043",2968.85801442898,-0.160149598014033,0.0915796715790048,-1.74874614914811,0.0803349089943179,0.200231254852098
"ENSMUSG00000000098",235.517236227534,0.302289250828119,0.173266513246524,1.74464901015248,0.0810459841068014,0.200231254852098
"ENSMUSG00000000059",104.308181990758,-0.402713281177122,0.235270322657987,-1.71170454746452,0.0869511301631471,0.208682712391553
"ENSMUSG00000000063",16.372616985759,-0.901605701796485,0.537341766749551,-1.67789990949412,0.0933666402221788,0.217855493851751
"ENSMUSG00000000089",708.082449592529,-0.179710540157727,0.11350162502183,-1.5833301075924,0.113346244062568,0.256173587545069
"ENSMUSG00000000058",12533.5162021482,-0.140320969273099,0.0892473998468961,-1.57226955086445,0.115888051508484,0.256173587545069
"ENSMUSG00000000092",471.534978532921,0.2031666623127,0.132001421318108,1.53912480853591,0.123773829585252,0.258564009583777
"ENSMUSG00000000086",79.0472260868619,-0.420876938824759,0.274498343812954,-1.53325857263295,0.125212157584262,0.258564009583777
"ENSMUSG00000000068",1685.26177440958,-0.135230515562951,0.088429628106436,-1.52924442247099,0.126203861820653,0.258564009583777
"ENSMUSG00000000018",981.985944552795,-0.15731503353679,0.103743314156755,-1.51638719868819,0.129421474083077,0.258842948166155
"ENSMUSG00000000024",8400.94520246059,0.108109039422275,0.0754707474464001,1.43246281612694,0.152011412386373,0.296952526522218
